,item_index,name,brand,price,rating,review_count,platform,seller
0,21,bộ cộc tay thun lạnh size 9 32kg hình in dể thương cho bé gái bé trai đủ màu,no brand,79000,5,5100,lazada,minh thái cana s
1,810,combo 10 quần cộc 3 bọ cộc tay 3 bộ ba lỗ sơ sinh quần chục đùi vải tăm lạnh mềm mát cho bé 4 16kg,no brand,55000,0,0,lazada,elemkids thoitrangtreemre
2,744,20 đến 50kg đồ bộ cho bé trai size đại bộ đùi bé trai thun cotton xuất mềm mát vnxk 088,no brand,89868,0,0,lazada,tatashopsaigon
3,5055,giày da nam tăng chiều cao 6cm chất da bò đẹp cao cấp g612 men fashion menf,aroti,149000,0,0,lazada,men fashion 2088
4,242,bộ quần áo set đồ bé trai 2 8 tuổi 9 24kg áo thun cộc tay quần short jean thời trang cá tính tiger đức trí kids,no brand,50960,4.7,2000,lazada,d t kisd thời trang cho bé
5,4984,jifanpaul giày vải nam đế mềm chống trượt bền thoáng khí,jifanpaul,146000,4.814,2700,lazada,jifanpaul global
6,239,set 3 bộ đồ tole bé trai tay ngắn có 18 size cho bé 5 65 kg đồ bộ bé trai chất vải tôn lanh mát lạnh thoải mái cho bé mặc nhà tole trai ngắn,no brand,170500,494.925,307400,lazada,tuấn khải baby
7,104,bộ đồ cộc tay sọc vải thun lạnh hàng minky mom cho bé trai bé gái từ 7kg đến 28kg,no brand,59900,49.772,17600,lazada,bé cưng shop 01
8,5024,giày da nam thời trang kiểu lười công sở thoáng khí thoải mái lót pu đế bằng thiết kế đơn giản thích hợp cho mùa xuân,no brand,159000,4.714,2100,lazada,globalwondershop
9,693,set 5 bộ quần áo tole lanh bé trai sát nách có 14 size cho bé 5 45kg đồ bộ bé trai vải tôn 2 da mềm mại thoáng mát tole la,no brand,165600,4.943,10600,lazada,tuấn khải baby
