user_id,item_index,interaction
115,624,1
115,860,0
115,5390,0
115,5226,0
115,5191,0
278,5755,1
278,3772,0
278,3092,0
278,5734,0
278,466,0
109,550,1
109,5334,0
109,4426,0
109,5578,0
109,3444,0
57,2080,1
57,3171,0
57,2919,0
57,130,0
57,1685,0
394,453,1
394,769,0
394,2391,0
394,5611,0
394,2433,0
273,163,1
273,5311,0
273,5051,0
273,1184,0
273,4555,0
4,4176,1
4,3385,0
4,4117,0
4,4843,0
4,2904,0
34,1315,1
34,474,0
34,1082,0
34,2558,0
34,2047,0
146,324,1
146,2747,0
146,975,0
146,1806,0
146,189,0
244,5060,1
244,2734,0
244,3005,0
244,4658,0
244,1899,0
473,453,1
473,1267,0
473,1528,0
473,3202,0
473,3556,0
16,214,1
16,3890,0
16,646,0
16,2888,0
16,5393,0
298,1095,1
298,2435,0
298,600,0
298,2363,0
298,2061,0
57,1972,1
57,241,0
57,2041,0
57,2824,0
57,2612,0
275,1148,1
275,1363,0
275,5486,0
275,1478,0
275,2556,0
446,4413,1
446,775,0
446,4014,0
446,34,0
446,3152,0
184,737,1
184,1955,0
184,1585,0
184,3943,0
184,3073,0
197,4840,1
197,1021,0
197,3461,0
197,2613,0
197,5225,0
181,1634,1
181,3843,0
181,4798,0
181,5675,0
181,161,0
313,2019,1
313,4297,0
313,1981,0
313,995,0
313,4911,0
337,4362,1
337,3342,0
337,4551,0
337,3798,0
337,1275,0
20,4655,1
20,1016,0
20,337,0
20,878,0
20,1076,0
176,5168,1
176,4887,0
176,3993,0
176,4859,0
176,379,0
258,5237,1
258,492,0
258,5276,0
258,2062,0
258,3884,0
160,235,1
160,64,0
160,2568,0
160,5463,0
160,5248,0
39,1406,1
39,2027,0
39,2695,0
39,1495,0
39,5258,0
88,4008,1
88,5618,0
88,391,0
88,5794,0
88,4514,0
370,4889,1
370,4474,0
370,3561,0
370,2278,0
370,3099,0
170,4306,1
170,200,0
170,4875,0
170,3104,0
170,4598,0
460,2604,1
460,2454,0
460,3645,0
460,804,0
460,2731,0
191,4365,1
191,2773,0
191,1570,0
191,5056,0
191,5581,0
148,760,1
148,2690,0
148,3840,0
