,item_index,name,brand,price,rating,review_count,discount_value,platform,seller,product_url,image_url,score
0,1978,puucai 6 in 1 e meter watt voltmeter ammeter power meter current intensity voltage meter,no brand,185000,4.43,700,0,lazada,smart 1992,https://www.lazada.vn/products/pdp-i1773502984.html,https://sg-live-01.slatic.net/p/1a9cfccf262cd9b60f4192106637c579.jpg,0.8212000131607056
1,4547,đồ chơi giáo dục montessori besee tháp cầu vồng cho trẻ sơ sinh và trẻ em từ 1 2 5 tuổi,besee,100000,4.73,5200,37,lazada,besee,https://www.lazada.vn/products/pdp-i3231916811.html,https://filebroker-cdn.lazada.vn/kf/S783aebc48abc4c37b7e3406829269b0ev.jpg,0.7993999719619751
2,2417,lanlipu màn hình cong chơi game 2k hdr không viền 27 inch,lanlipu,797000,5,4600,84,lazada,lanlipu tech,https://www.lazada.vn/products/pdp-i13314319176.html,https://ae01.alicdn.com/kf/S66cbdd3771cf4f998eb79143774b97f9k.png,0.7885000109672546
3,3059,bia desperados original 5 9 bia pháp 1 lon 440ml,no brand,107000,0,0,29,lazada,đồ uống trang anh,https://www.lazada.vn/products/pdp-i3173095095.html,https://sg-test-11.slatic.net/p/731caed752b6fcde4b13ddbfdebd052d.jpg,0.7789999842643738
4,3315, hỏa tốc hcm thùng bia sài gòn lager 330ml x 24 lon,no brand,320000,0,0,9,lazada,shop changbi,https://www.lazada.vn/products/pdp-i3030320144.html,https://sg-test-11.slatic.net/p/85c592010b171df43819d1e4f3026110.jpg,0.7754999995231628
5,5199,jifanpaul giày lười canvas nam thoáng khí đảm bảo sựthoải mái,jifanpaul,208000,5,400,0,lazada,jifanpaul global,https://www.lazada.vn/products/pdp-i3197370947.html,https://filebroker-cdn.lazada.vn/kf/Sa09c879756c5459a983cc91972416d90S.jpg,0.755299985408783
6,4509,quà tặng sinh nhật đồ chơi lắp ráp siêu anh hùng,no brand,49000,5,400,0,lazada,guohuo figurine shop,https://www.lazada.vn/products/pdp-i3324970227.html,https://filebroker-cdn.lazada.vn/kf/S286d37d584d347f6878c87e25be085afc.jpg,0.7533000111579895
7,3115,thùng 24 lon bia tiger 330ml thùng bia heineken bạc lon lùng thùng 24lon 250ml đậm đà thơm ngon đúng vi lên men tự nhiên cho hương vi thơm ngon đọc đáo,tiger,350000,5,0,5,lazada,bánh kẹo bích trâm chợ tam hà thủ đức hcm,https://www.lazada.vn/products/pdp-i3290754564.html,https://vn-live-01.slatic.net/p/95da359fba3bea9670537c0a5b43a70f.jpg,0.7476000189781189
8,1229,điện thoại qin f25 2025 ram 6 128g,no brand,4290000,5,0,0,lazada,qin phone store,https://www.lazada.vn/products/pdp-i3235846207.html,https://filebroker-cdn.lazada.vn/kf/S287de5c0a3b04f52a55064876a32acc3l.jpg,0.7461000084877014
9,2443,ấm siêu tốc 5 lít fujika 1500w ấm điện đun nước tự ngắt fj sd50 thân inox bảo hành 12 tháng,fujika,260000,4.77,2600,35,lazada,gia dung tu tu,https://www.lazada.vn/products/pdp-i2602635806.html,https://vn-live-01.slatic.net/p/01cbb5336ebdf5b3855fbd56dd577b97.jpg,0.7279999852180481
